"event","day","type"
"National Trivia Day "," January 4","activity"
"National Hugging Day "," January 21","activity"
"Celebration of Life Day "," January 22","activity"
"National Opposite Day "," January 25","activity"
"National Puzzle Day "," January 29","activity"
"Groundhog Day "," February 2","activity"
"National Send a Card to a Friend Day "," February 7","activity"
"National Boy Scout Day "," February 8","activity"
"Random Act of Kindness Day "," February 17","activity"
"Tug of War Day "," February 19","activity"
"National Read Across America Day "," March 2","activity"
"National Proofreading Day "," March 4","activity"
"National Grammar Day "," March 4","activity"
"National Promposal Day "," March 11","activity"
"National Girl Scout Day "," March 12","activity"
"National Napping Day "," March 13","activity"
"National Pi Day "," March 14","activity"
"Awkward Moments Day "," March 18","activity"
"National Proposal Day "," March 20","activity"
"National Goof Off Day "," March 22","activity"
"April Fools’ Day "," April 1","activity"
"World Party Day "," April 3","activity"
"National Walking Day "," April 5","activity"
"National Make Lunch Count Day "," April 13","activity"
"National Picnic Day "," April 23","activity"
"International Dance Day "," April 29","activity"
"National Honesty Day "," April 30","activity"
"May Day "," May 1","activity"
"National Paranormal Day "," May 3","activity"
"World Password Day "," May 4","activity"
"International No Diet Day "," May 6","activity"
"National Tourist Appreciation Day "," May 6","activity"
"National Tourism Day "," May 7","activity"
"National Limerick Day "," May 12","activity"
"National Scavenger Hunt Day "," May 24","activity"
"National Paper Airplane Day "," May 26","activity"
"National Yo-Yo Day "," June 6","activity"
"National Sewing Machine Day "," June 13","activity"
"National Selfie Day "," June 21","activity"
"National Kissing Day "," June 24","activity"
"International Day of the Seafarer "," June 25","activity"
"Hug Holiday "," June 29","activity"
"International Joke Day "," July 1","activity"
"World UFO Day "," July 2","activity"
"National Bikini Day "," July 5","activity"
"International Kissing Day "," July 6","activity"
"National Simplicity Day "," July 12","activity"
"Pandemonium Day "," July 14","activity"
"National Give Something Away Day "," July 15","activity"
"World Listening Day "," July 18","activity"
"National Moon Day "," July 20","activity"
"National Hammock Day "," July 22","activity"
"National Dance Day "," July 30","activity"
"National Coloring Book Day "," August 2","activity"
"National Book Lovers Day "," August 9","activity"
"National Relaxation Day "," August 15","activity"
"National Tell A Joke Day "," August 16","activity"
"National Tooth Fairy Day "," August 22","activity"
"National Beach Day "," August 30","activity"
"College Colors Day "," September 1","activity"
"American Chess Day "," September 1","activity"
"National Read a Book Day "," September 6","activity"
"International Sudoku Day "," September 9","activity"
"National Make Your Bed Day "," September 11","activity"
"National Coloring Day "," September 14","activity"
"International Dot Day "," September 15","activity"
"International Talk Like a Pirate Day "," September 19","activity"
"National Cooking Day "," September 25","activity"
"World Tourism Day "," September 27","activity"
"World Smile Day "," October 7","activity"
"National Checklist Day "," October 30","activity"
"Halloween "," October 31","activity"
"National Crossword Puzzle Day "," December 21","activity"
"Festivus "," December 23","activity"
"National Thank You Note Day "," December 26","activity"
